timestamp,BTC,ETH,USD1,SOL,WLD,XRP,ZEC,TAO,BNB,NEAR,SYN,TRX,TNSR,RESOLV,ENA,SUI,TRUMP,DOGE,SAGA,ID,AVAX,ADA,BICO,EIGEN,FET,XLM,EUR,STO,HMSTR,UTK,LTC,LINK,TON,PEPE,UNI,STRAX,AAVE,BEL,ONDO,PAXG,W,BFUSD,FIL,HOME,JTO,IO,ALICE,INJ,DEXE,AXS,HBAR,ZRO,DYM,APT,DASH,DOT,ICP,PENGU,RENDER,WLFI,PENDLE,BCH,SPK,VIC,EPIC,BIO,TIA,CHZ,ORDI,ARB,BROCCOLI714,NEIRO,WBTC,POL,XAI,JST,SEI,DYDX,ACE,BANANAS31
2025-09-01,109237.42,4314.5,0.9993,197.32,0.855,2.7589,40.55,310.1,845.68,2.34,0.1171,0.3373,0.1094,0.1364,0.6287,3.2042,8.35,0.21073,0.2278,0.1572,23.21,0.8014,0.0986,1.139,0.591,0.3574,1.1712,0.0814,0.000656,0.02849,108.73,22.51,3.108,9.47e-06,9.351,0.04284,304.87,0.2375,0.8801,3503.19,0.0778,0.9991,2.287,0.03534,1.83,0.541,0.3556,12.47,7.496,2.33,0.21468,1.816,0.202,4.213,22.75,3.693,4.695,0.028496,3.329,0.2335,4.503,545.1,0.058496,0.2177,2.151,0.1411,1.553,0.03882,8.242,0.4772,0.02296,0.00032128,109313.05,0.2715,0.0457,0.03506,0.2754,0.5773,0.494,0.006388
2025-09-02,111240.01,4326.5,0.9995,209.65,0.888,2.862,41.57,321.1,851.8,2.439,0.1215,0.3381,0.1154,0.1406,0.6875,3.3168,8.39,0.21489,0.2399,0.1594,24.46,0.8349,0.0972,1.208,0.617,0.3681,1.1637,0.081,0.000683,0.02946,111.76,23.49,3.169,9.79e-06,9.581,0.04324,315.74,0.2419,0.9483,3548.15,0.0784,0.9994,2.27,0.03673,1.908,0.547,0.364,12.99,7.335,2.36,0.22058,1.872,0.21,4.336,23.3,3.82,4.87,0.030934,3.457,0.2271,4.561,584.7,0.056976,0.2243,2.105,0.1444,1.607,0.03932,8.625,0.5025,0.02305,0.00033548,111226.67,0.2892,0.0466,0.03517,0.2869,0.6,0.511,0.006564
2025-09-03,111705.71,4450.46,0.9995,210.77,0.897,2.8443,41.57,324.6,854.76,2.469,0.1211,0.3406,0.1161,0.1494,0.7306,3.3876,8.43,0.2203,0.2395,0.1601,25.2,0.8366,0.0976,1.251,0.619,0.3622,1.1657,0.0814,0.000693,0.02992,112.98,23.69,3.176,9.88e-06,9.676,0.04377,327.87,0.2432,0.9411,3574.99,0.0796,0.9992,2.329,0.03802,1.886,0.535,0.3623,13.23,7.394,2.403,0.21929,1.892,0.211,4.371,23.98,3.865,4.908,0.030613,3.481,0.2173,4.752,603.7,0.059743,0.2266,2.181,0.1466,1.632,0.03973,8.943,0.5102,0.02324,0.00034448,111671.06,0.2823,0.0471,0.03467,0.2932,0.5981,0.512,0.006608
2025-09-04,110730.87,4297.55,0.999,202.32,0.865,2.7946,40.77,314.5,843.63,2.376,0.1174,0.3346,0.1104,0.1426,0.6473,3.2857,8.28,0.21241,0.2288,0.1541,24.21,0.8093,0.0936,1.193,0.593,0.352,1.1653,0.077,0.000667,0.02885,111.05,22.32,3.098,9.44e-06,9.288,0.04266,306.54,0.2349,0.9098,3559.09,0.0751,0.9992,2.264,0.03653,1.819,0.508,0.3511,12.44,7.243,2.304,0.21351,1.804,0.201,4.243,23.25,3.764,4.697,0.028499,3.359,0.1867,4.493,586.6,0.059821,0.2184,1.997,0.1414,1.555,0.03862,8.522,0.4823,0.02306,0.00032735,110715.46,0.28,0.0452,0.03393,0.2792,0.5673,0.49,0.006063
2025-09-05,110659.99,4307.45,0.999,203.36,0.916,2.8147,41.1,318.1,850.14,2.399,0.1192,0.3313,0.1142,0.152,0.7319,3.3743,8.36,0.21788,0.2386,0.1601,24.47,0.8307,0.095,1.363,0.61,0.3596,1.1711,0.0789,0.000679,0.02668,112.05,22.28,3.09,9.75e-06,9.393,0.04282,302.3,0.2385,0.911,3593.64,0.078,0.9995,2.345,0.0397,1.84,0.522,0.3592,13.01,7.24,2.395,0.2183,1.834,0.208,4.246,23.93,3.828,4.773,0.029154,3.457,0.1812,4.727,606.8,0.060653,0.2248,2.006,0.1729,1.617,0.0395,8.912,0.4946,0.02325,0.00034649,110683.23,0.2785,0.0464,0.03408,0.2913,0.6012,0.497,0.006301
2025-09-06,110187.97,4273.14,0.9992,200.16,0.963,2.8098,47.46,317.0,860.85,2.402,0.1183,0.3145,0.1119,0.1564,0.7375,3.3356,8.36,0.21595,0.2358,0.1605,24.38,0.8184,0.0942,1.3,0.604,0.3558,1.1706,0.0788,0.000687,0.02614,112.13,22.19,3.059,9.63e-06,9.333,0.04276,298.31,0.2383,0.9015,3626.0,0.0787,0.9995,2.327,0.04029,1.796,0.52,0.3589,12.92,7.094,2.364,0.21461,1.835,0.207,4.203,23.63,3.823,4.753,0.028589,3.413,0.2162,4.598,595.3,0.059788,0.2252,2.052,0.1661,1.602,0.03901,8.989,0.4883,0.02315,0.00034306,110208.85,0.2733,0.0459,0.03351,0.2854,0.596,0.495,0.00612
2025-09-07,111137.34,4306.19,0.9993,206.35,1.031,2.877,48.4,326.5,880.05,2.465,0.1209,0.3312,0.1136,0.1579,0.7371,3.3966,8.49,0.22877,0.2395,0.1625,24.68,0.8351,0.0967,1.403,0.625,0.3616,1.1711,0.0817,0.000691,0.02653,114.9,22.47,3.094,9.88e-06,9.396,0.04313,301.56,0.2425,0.9106,3602.37,0.078,0.9992,2.394,0.03933,1.805,0.525,0.3639,13.03,6.989,2.457,0.21949,1.883,0.211,4.273,24.62,3.995,4.827,0.030624,3.477,0.2251,4.639,603.2,0.0632,0.2279,2.074,0.1622,1.646,0.04002,9.199,0.4962,0.02336,0.00035071,111172.29,0.2772,0.0466,0.03363,0.2951,0.6008,0.498,0.006272
2025-09-08,112065.23,4306.37,0.9991,214.11,1.571,2.9697,50.66,344.2,878.08,2.576,0.1239,0.3313,0.1191,0.1647,0.7816,3.4997,8.61,0.24164,0.2485,0.1636,25.29,0.8651,0.0982,1.416,0.65,0.3776,1.1768,0.0829,0.000734,0.02758,112.75,23.04,3.095,1.03e-05,9.555,0.04371,302.92,0.2474,0.9326,3640.8,0.0821,0.9993,2.439,0.03886,1.878,0.581,0.3708,13.57,7.009,2.5,0.22633,1.972,0.218,4.405,25.1,4.045,4.898,0.033865,3.712,0.2111,4.84,588.4,0.066734,0.2356,2.019,0.1584,1.726,0.0416,9.325,0.5133,0.0245,0.00037394,112088.63,0.2738,0.049,0.03386,0.3108,0.6184,0.511,0.006126
2025-09-09,111546.39,4310.09,0.999,217.21,1.929,2.9474,48.32,335.5,880.01,2.634,0.1238,0.3351,0.1206,0.1541,0.8067,3.4698,8.67,0.24063,0.2476,0.1663,25.93,0.8652,0.0969,1.399,0.645,0.3723,1.1701,0.0831,0.000724,0.02733,111.92,23.05,3.094,1.032e-05,9.539,0.04378,298.0,0.2484,0.9536,3643.12,0.0854,0.9992,2.451,0.03716,1.903,0.637,0.3666,14.02,6.915,2.488,0.22811,1.982,0.219,4.391,24.9,4.14,4.871,0.033596,3.792,0.2006,4.736,580.5,0.064726,0.2348,1.94,0.1489,1.808,0.04225,9.565,0.5125,0.02443,0.00036705,111548.24,0.2696,0.0499,0.03395,0.3094,0.6279,0.518,0.006054
2025-09-10,113960.0,4349.32,0.9992,224.07,1.868,2.9834,47.87,348.7,893.77,2.727,0.127,0.3383,0.1237,0.1565,0.7788,3.6197,8.81,0.24536,0.243,0.1679,29.48,0.8854,0.1011,1.4,0.657,0.3833,1.1704,0.0879,0.000737,0.0277,117.66,23.57,3.171,1.053e-05,9.736,0.04418,300.15,0.257,1.0238,3642.26,0.0945,0.9997,2.492,0.03749,1.896,0.611,0.3803,13.93,6.973,2.547,0.23424,2.016,0.222,4.483,24.64,4.216,4.894,0.034773,3.926,0.2019,4.79,581.1,0.064593,0.2426,2.031,0.1448,1.761,0.04211,9.454,0.5127,0.02609,0.00036515,113955.11,0.2712,0.0505,0.03404,0.3206,0.6378,0.585,0.006116
2025-09-11,115482.69,4458.82,0.9993,228.73,1.654,3.0398,47.94,357.9,902.77,2.745,0.1282,0.3463,0.1243,0.1566,0.7798,3.6669,8.82,0.25603,0.2688,0.1668,29.15,0.8939,0.1021,1.508,0.67,0.3961,1.173,0.0871,0.000754,0.02722,115.83,24.47,3.188,1.069e-05,9.986,0.04414,309.54,0.2588,1.0807,3632.1,0.0955,0.9998,2.536,0.03838,1.846,0.655,0.3799,14.21,6.957,2.559,0.23978,2.031,0.228,4.525,24.59,4.242,4.979,0.034846,3.994,0.1999,5.348,596.4,0.066335,0.2438,2.054,0.151,1.803,0.04234,9.789,0.5301,0.02546,0.000379,115473.42,0.2726,0.0587,0.03408,0.3363,0.6635,0.63,0.006145
2025-09-12,116029.42,4712.16,0.9993,242.18,1.665,3.1054,49.75,362.0,924.8,2.792,0.1372,0.3525,0.1284,0.1611,0.779,3.7199,8.99,0.2755,0.2719,0.1691,28.99,0.9169,0.1051,1.534,0.682,0.4046,1.174,0.0938,0.000764,0.02748,118.03,25.13,3.219,1.153e-05,10.179,0.04463,321.57,0.2635,1.101,3641.99,0.0945,0.9998,2.561,0.03884,2.002,0.653,0.3911,14.47,6.984,2.637,0.2455,2.029,0.23,4.624,24.99,4.319,4.983,0.036405,4.029,0.2071,5.264,598.3,0.06863,0.245,2.078,0.153,1.851,0.0435,10.311,0.5475,0.02644,0.00039611,116056.01,0.2733,0.0568,0.03422,0.3446,0.6688,0.648,0.006229
